project_id,iris_status,iris_reason,qlcoder_status,qlcoder_reason,same_revision_comparable
P006,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
P007,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
P010,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
P012,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
D001,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
D002,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
D003,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
D004,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
V001,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
V004,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
V005,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
V007,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
V021,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
V022,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
V023,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
V025,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
V009,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_METADATA_AND_PAIR_AVAILABLE,true
V011,DB_INCOMPATIBLE,FROZEN_DB_CODEQL_2.26.3_VS_IRIS_PATCHED_2.15.3,RUNNABLE,OFFICIAL_CVE_PAIR_AVAILABLE_BUT_FROZEN_REVISION_DIFFERS,false
